1700,1-1-1
1762,1-1-2
1861,1-1-3
1908,1-1-4
1892,1-1-5
2004,1-1-6
1991,1-1-7
1984,1-1-8
1977,1-1-9
1960,1-1-10
1953,1-2-1
1946,1-2-2
1939,1-2-3
1922,1-2-4
1915,1-2-5
1885,1-2-6
1878,1-2-7
1779,1-2-8
1717,1-2-9
1618,1-2-10
1502,2-1-1
1540,2-1-2
1601,2-1-3
1694,2-1-4
1755,2-1-5
1748,2-1-6
1854,2-1-7
1847,2-1-8
1830,2-1-9
1823,2-1-10
1816,2-2-1
1809,2-2-2
1793,2-2-3
1786,2-2-4
1731,2-2-5
1724,2-2-6
1625,2-2-7
1557,2-2-8
1519,2-2-9
1434,2-2-10
1328,3-1-1
1366,3-1-2
1427,3-1-3
1496,3-1-4
1533,3-1-5
1595,3-1-6
1588,3-1-7
1687,3-1-8
1670,3-1-9
1663,3-1-10
1656,3-2-1
1649,3-2-2
1632,3-2-3
1571,3-2-4
1564,3-2-5
1526,3-2-6
1441,3-2-7
1373,3-2-8
1335,3-2-9
1274,3-2-10
1014,4-1-1
1052,4-1-2
1090,4-1-3
1137,4-1-4
1175,4-1-5
1212,4-1-6
1236,4-1-7
1342,4-2-1
1380,4-2-2
1397,4-2-3
1458,4-2-4
1465,4-2-5
1472,4-2-6
1489,4-2-7
1403,4-2-8
1410,4-2-9
1359,4-2-10
1267,4-3-1
1229,4-3-2
1205,4-3-3
1168,4-3-4
1120,4-3-5
1083,4-3-6
1045,4-3-7
1038,5-1-1
1076,5-1-2
1113,5-1-3
1151,5-1-4
1199,5-1-5
1250,5-2-1
1311,5-2-2
1304,5-2-3
1298,5-2-4
1281,5-2-5
1243,5-2-6
1182,5-3-1
1144,5-3-2
1106,5-3-3
1069,5-3-4
1021,5-3-5
